,day,x,y,z
0,30213,19.8048180493,22.253849583,-0.914522199694
1,30214,19.8024484074,22.2559609056,-0.91451139431
2,30215,19.8000785433,22.2580719786,-0.914500578666
3,30216,19.7977084572,22.2601828019,-0.91448975277
4,30217,19.795338149,22.2622933756,-0.914478916614
5,30218,19.7929676189,22.2644036996,-0.914468070205
6,30219,19.7905968667,22.2665137739,-0.914457213537
7,30220,19.7882258927,22.2686235985,-0.914446346616
8,30221,19.7858546967,22.2707331734,-0.91443546944
9,30222,19.7834832787,22.2728424984,-0.914424582005
10,30223,19.781111639,22.2749515738,-0.914413684317
11,30224,19.7787397774,22.2770603992,-0.914402776374
12,30225,19.7763676939,22.2791689748,-0.914391858173
13,30226,19.7739953886,22.2812773006,-0.91438092972
14,30227,19.7716228616,22.2833853765,-0.914369991012
15,30228,19.7692501128,22.2854932024,-0.914359042046
16,30229,19.7668771423,22.2876007785,-0.914348082828
17,30230,19.7645039502,22.2897081046,-0.914337113356
18,30231,19.7621305364,22.2918151807,-0.914326133629
19,30232,19.7597569009,22.2939220068,-0.914315143648
20,30233,19.7573830438,22.2960285827,-0.91430414341
21,30234,19.7550089651,22.2981349087,-0.91429313292
22,30235,19.7526346649,22.3002409847,-0.914282112177
23,30236,19.7502601432,22.3023468105,-0.914271081179
24,30237,19.7478854,22.3044523862,-0.914260039928
25,30238,19.7455104352,22.3065577118,-0.914248988423
26,30239,19.7431352491,22.3086627871,-0.914237926665
27,30240,19.7407598415,22.3107676123,-0.914226854653
28,30241,19.7383842125,22.3128721873,-0.914215772388
29,30242,19.7360083621,22.314976512,-0.91420467987
30,30243,19.7336322904,22.3170805864,-0.914193577098
31,30244,19.7312559974,22.3191844106,-0.914182464074
32,30245,19.7288794832,22.3212879845,-0.9141713408
33,30246,19.7265027476,22.323391308,-0.914160207271
34,30247,19.7241257908,22.3254943812,-0.914149063488
35,30248,19.7217486127,22.3275972039,-0.914137909454
36,30249,19.7193712136,22.3296997763,-0.91412674517
37,30250,19.7169935932,22.3318020982,-0.914115570631
38,30251,19.7146157517,22.3339041697,-0.914104385839
39,30252,19.7122376892,22.3360059907,-0.914093190799
40,30253,19.7098594055,22.3381075612,-0.914081985504
41,30254,19.7074809008,22.3402088812,-0.914070769961
42,30255,19.7051021751,22.3423099507,-0.914059544165
43,30256,19.7027232284,22.3444107695,-0.914048308116
44,30257,19.7003440607,22.3465113377,-0.914037061818
45,30258,19.6979646721,22.3486116554,-0.914025805268
46,30259,19.6955850625,22.3507117223,-0.914014538465
47,30260,19.693205232,22.3528115387,-0.914003261414
48,30261,19.6908251808,22.3549111043,-0.913991974111
49,30262,19.6884449086,22.3570104193,-0.913980676558
50,30263,19.6860644157,22.3591094834,-0.913969368755
51,30264,19.6836837019,22.3612082969,-0.913958050701
52,30265,19.6813027675,22.3633068595,-0.913946722396
53,30266,19.6789216123,22.3654051714,-0.913935383845
54,30267,19.6765402364,22.3675032324,-0.91392403504
55,30268,19.6741586398,22.3696010425,-0.913912675985
56,30269,19.6717768226,22.3716986018,-0.913901306683
57,30270,19.6693947847,22.3737959101,-0.913889927129
58,30271,19.6670125262,22.3758929676,-0.913878537328
59,30272,19.6646300472,22.3779897741,-0.913867137277
60,30273,19.6622473476,22.3800863296,-0.913855726974
61,30274,19.6598644276,22.3821826341,-0.913844306425
62,30275,19.657481287,22.3842786876,-0.913832875626
63,30276,19.655097926,22.3863744901,-0.913821434579
64,30277,19.6527143445,22.3884700415,-0.913809983282
65,30278,19.6503305426,22.3905653418,-0.913798521737
66,30279,19.6479465204,22.392660391,-0.913787049946
67,30280,19.6455622778,22.3947551891,-0.913775567904
68,30281,19.6431778149,22.396849736,-0.913764075616
69,30282,19.6407931316,22.3989440317,-0.913752573077
70,30283,19.6384082281,22.4010380762,-0.913741060292
71,30284,19.6360231044,22.4031318695,-0.91372953726
72,30285,19.6336377604,22.4052254115,-0.91371800398
73,30286,19.6312521962,22.4073187022,-0.913706460451
74,30287,19.6288664119,22.4094117417,-0.913694906676
75,30288,19.6264804074,22.4115045298,-0.913683342652
76,30289,19.6240941828,22.4135970666,-0.913671768384
77,30290,19.6217077381,22.4156893519,-0.913660183866
78,30291,19.6193210734,22.417781386,-0.913648589103
79,30292,19.6169341886,22.4198731686,-0.913636984094
80,30293,19.6145470839,22.4219646997,-0.913625368837
81,30294,19.6121597591,22.4240559794,-0.913613743334
82,30295,19.6097722144,22.4261470075,-0.913602107584
83,30296,19.6073844497,22.4282377842,-0.913590461587
84,30297,19.6049964652,22.4303283094,-0.913578805347
85,30298,19.6026082608,22.432418583,-0.91356713886
86,30299,19.6002198365,22.4345086049,-0.913555462124
87,30300,19.5978311924,22.4365983753,-0.913543775145
88,30301,19.5954423285,22.438687894,-0.91353207792
89,30302,19.5930532449,22.4407771612,-0.913520370452
90,30303,19.5906639415,22.4428661766,-0.913508652735
91,30304,19.5882744185,22.4449549404,-0.913496924776
92,30305,19.5858846757,22.4470434524,-0.913485186571
93,30306,19.5834947133,22.4491317126,-0.913473438121
