,day,x,y,z
0,79625,0.314700764336,-1.67816866112,-0.0153078701616
1,79626,0.351522699507,-1.67120632961,-0.0164122006104
2,79627,0.388183211309,-1.66339735627,-0.0175039499161
3,79628,0.424661941283,-1.6547459084,-0.0185822851322
4,79629,0.460938643151,-1.64525665986,-0.0196463838917
5,79630,0.496993195475,-1.63493478779,-0.0206954349918
6,79631,0.53280561422,-1.62378596894,-0.0217286389697
7,79632,0.5683560652,-1.61181637569,-0.0227452086691
8,79633,0.603624876425,-1.59903267186,-0.0237443697986
9,79634,0.63859255031,-1.58544200816,-0.0247253614785
10,79635,0.673239775763,-1.5710520173,-0.0256874367791
11,79636,0.707547440145,-1.55587080893,-0.0266298632486
12,79637,0.741496641072,-1.53990696418,-0.0275519234297
13,79638,0.7750686981,-1.52316953,-0.0284529153669
14,79639,0.808245164227,-1.50566801318,-0.0293321531016
15,79640,0.841007837262,-1.48741237407,-0.0301889671569
16,79641,0.873338771012,-1.46841302014,-0.0310227050107
17,79642,0.905220286321,-1.44868079911,-0.0318327315572
18,79643,0.936634981915,-1.42822699198,-0.0326184295565
19,79644,0.96756574508,-1.40706330568,-0.0333792000724
20,79645,0.997995762147,-1.38520186556,-0.0341144628977
21,79646,1.0279085288,-1.36265520753,-0.0348236569671
22,79647,1.05728786016,-1.33943627009,-0.0355062407575
23,79648,1.08611790071,-1.31555838596,-0.0361616926755
24,79649,1.11438313399,-1.29103527361,-0.0367895114315
25,79650,1.14206839208,-1.26588102851,-0.0373892164007
26,79651,1.16915886485,-1.2401101141,-0.0379603479709
27,79652,1.19564010906,-1.21373735265,-0.0385024678761
28,79653,1.22149805713,-1.18677791581,-0.0390151595168
29,79654,1.24671902581,-1.15924731496,-0.0394980282658
30,79655,1.27128972446,-1.13116139142,-0.0399507017603
31,79656,1.29519726323,-1.10253630636,-0.0403728301791
32,79657,1.31842916092,-1.07338853063,-0.0407640865054
33,79658,1.34097335263,-1.04373483425,-0.0411241667751
34,79659,1.36281819712,-1.01359227586,-0.04145279031
35,79660,1.38395248395,-0.982978191887,-0.0417496999358
36,79661,1.4043654403,-0.951910185608,-0.042014662185
37,79662,1.42404673766,-0.920406115972,-0.0422474674846
38,79663,1.44298649804,-0.888484086313,-0.0424479303274
39,79664,1.46117530012,-0.856162432886,-0.0426158894291
40,79665,1.47860418498,-0.823459713237,-0.0427512078679
41,79666,1.49526466161,-0.790394694445,-0.042853773209
42,79667,1.51114871208,-0.756986341219,-0.0429234976128
43,79668,1.52624879654,-0.723253803847,-0.0429603179268
44,79669,1.54055785776,-0.689216406023,-0.0429641957607
45,79670,1.55406932553,-0.654893632567,-0.0429351175455
46,79671,1.56677712064,-0.620305116999,-0.0428730945753
47,79672,1.57867565861,-0.58547062903,-0.0427781630331
48,79673,1.58975985314,-0.550410061932,-0.0426503839985
49,79674,1.60002511919,-0.515143419829,-0.0424898434396
50,79675,1.60946737575,-0.479690804875,-0.0422966521865
51,79676,1.61808304839,-0.444072404381,-0.0420709458889
52,79677,1.62586907131,-0.408308477835,-0.041812884955
53,79678,1.63282288927,-0.372419343879,-0.0415226544742
54,79679,1.63894245902,-0.336425367216,-0.0412004641211
55,79680,1.64422625053,-0.30034694546,-0.0408465480431
56,79681,1.64867324777,-0.264204495951,-0.0404611647294
57,79682,1.65228294931,-0.228018442531,-0.0400445968629
58,79683,1.65505536841,-0.191809202282,-0.0395971511541
59,79684,1.6569910329,-0.155597172258,-0.0391191581574
60,79685,1.65809098467,-0.119402716186,-0.0386109720696
61,79686,1.65835677882,-0.083246151188,-0.0380729705105
62,79687,1.65779048248,-0.047147734482,-0.0375055542856
63,79688,1.65639467324,-0.011127650116,-0.0369091471314
64,79689,1.65417243735,0.024794004293,-0.0362841954427
65,79690,1.65112736738,0.060597230775,-0.0356311679822
66,79691,1.64726355976,0.096262144186,-0.0349505555722
67,79692,1.64258561178,0.131768985343,-0.0342428707695
68,79693,1.63709861834,0.167098134104,-0.0335086475217
69,79694,1.63080816834,0.202230122361,-0.0327484408069
70,79695,1.62372034071,0.237145646981,-0.0319628262553
71,79696,1.61584170007,0.271825582639,-0.0311523997547
72,79697,1.6071792921,0.306250994567,-0.0303177770379
73,79698,1.59774063848,0.340403151195,-0.0294595932537
74,79699,1.58753373161,0.374263536671,-0.028578502521
75,79700,1.57656702883,0.407813863255,-0.0276751774664
76,79701,1.56484944641,0.441036083587,-0.0267503087455
77,79702,1.55239035318,0.473912402799,-0.0258046045482
78,79703,1.5391995638,0.506425290471,-0.0248387900877
79,79704,1.52528733171,0.538557492428,-0.0238536070747
80,79705,1.51066434172,0.570292042354,-0.022849813175
81,79706,1.49534170233,0.601612273226,-0.0218281814536
82,79707,1.47933093767,0.632501828548,-0.0207894998029
83,79708,1.46264397915,0.662944673372,-0.019734570357
84,79709,1.44529315679,0.692925105121,-0.0186642088921
85,79710,1.42729119022,0.722427764167,-0.0175792442131
86,79711,1.40865117938,0.751437644186,-0.0164805175269
87,79712,1.38938659497,0.779940102252,-0.015368881803
88,79713,1.36951126852,0.807920868693,-0.0142452011216
89,79714,1.34903938221,0.83536605667,-0.0131103500103
90,79715,1.32798545848,0.862262171485,-0.0119652127681
