,date,declination,right_ascension
0,1/2/2018,15d 54m 18s South,14h 59m 27s
1,1/3/2018,15d 56m 58s South,15h 0m 6s
2,1/4/2018,15d 59m 35s South,15h 0m 45s
3,1/5/2018,16d 2m 10s South,15h 1m 23s
4,1/6/2018,16d 4m 43s South,15h 2m 1s
5,1/7/2018,16d 7m 14s South,15h 2m 39s
6,1/8/2018,16d 9m 42s South,15h 3m 16s
7,1/9/2018,16d 12m 8s South,15h 3m 53s
8,1/10/2018,16d 14m 31s South,15h 4m 29s
9,1/11/2018,16d 16m 52s South,15h 5m 5s
10,1/12/2018,16d 19m 10s South,15h 5m 40s
11,1/13/2018,16d 21m 27s South,15h 6m 15s
12,1/14/2018,16d 23m 40s South,15h 6m 50s
13,1/15/2018,16d 25m 51s South,15h 7m 24s
14,1/16/2018,16d 28m 0s South,15h 7m 57s
15,1/17/2018,16d 30m 6s South,15h 8m 30s
16,1/18/2018,16d 32m 10s South,15h 9m 3s
17,1/19/2018,16d 34m 11s South,15h 9m 35s
18,1/20/2018,16d 36m 10s South,15h 10m 7s
19,1/21/2018,16d 38m 6s South,15h 10m 38s
20,1/22/2018,16d 39m 59s South,15h 11m 8s
21,1/23/2018,16d 41m 50s South,15h 11m 38s
22,1/24/2018,16d 43m 39s South,15h 12m 7s
23,1/25/2018,16d 45m 25s South,15h 12m 36s
24,1/26/2018,16d 47m 8s South,15h 13m 5s
25,1/27/2018,16d 48m 49s South,15h 13m 32s
26,1/28/2018,16d 50m 27s South,15h 13m 59s
27,1/29/2018,16d 52m 2s South,15h 14m 26s
28,1/30/2018,16d 53m 35s South,15h 14m 52s
29,1/31/2018,16d 55m 5s South,15h 15m 17s
30,2/1/2018,16d 56m 33s South,15h 15m 42s
31,2/2/2018,16d 57m 57s South,15h 16m 6s
32,2/3/2018,16d 59m 20s South,15h 16m 30s
33,2/4/2018,17d 0m 39s South,15h 16m 53s
34,2/5/2018,17d 1m 56s South,15h 17m 15s
35,2/6/2018,17d 3m 10s South,15h 17m 37s
36,2/7/2018,17d 4m 21s South,15h 17m 58s
37,2/8/2018,17d 5m 30s South,15h 18m 18s
38,2/9/2018,17d 6m 36s South,15h 18m 38s
39,2/10/2018,17d 7m 39s South,15h 18m 57s
40,2/11/2018,17d 8m 39s South,15h 19m 15s
41,2/12/2018,17d 9m 37s South,15h 19m 33s
42,2/13/2018,17d 10m 32s South,15h 19m 50s
43,2/14/2018,17d 11m 24s South,15h 20m 6s
44,2/15/2018,17d 12m 14s South,15h 20m 22s
45,2/16/2018,17d 13m 1s South,15h 20m 37s
46,2/17/2018,17d 13m 44s South,15h 20m 51s
47,2/18/2018,17d 14m 26s South,15h 21m 4s
48,2/19/2018,17d 15m 4s South,15h 21m 17s
49,2/20/2018,17d 15m 39s South,15h 21m 29s
50,2/21/2018,17d 16m 12s South,15h 21m 41s
51,2/22/2018,17d 16m 42s South,15h 21m 51s
52,2/23/2018,17d 17m 9s South,15h 22m 1s
53,2/24/2018,17d 17m 34s South,15h 22m 10s
54,2/25/2018,17d 17m 55s South,15h 22m 19s
55,2/26/2018,17d 18m 14s South,15h 22m 26s
56,2/27/2018,17d 18m 30s South,15h 22m 33s
57,2/28/2018,17d 18m 43s South,15h 22m 39s
58,3/1/2018,17d 18m 54s South,15h 22m 45s
59,3/2/2018,17d 19m 1s South,15h 22m 49s
60,3/3/2018,17d 19m 6s South,15h 22m 53s
61,3/4/2018,17d 19m 8s South,15h 22m 56s
62,3/5/2018,17d 19m 7s South,15h 22m 59s
63,3/6/2018,17d 19m 3s South,15h 23m 0s
64,3/7/2018,17d 18m 57s South,15h 23m 1s
65,3/8/2018,17d 18m 48s South,15h 23m 1s
66,3/9/2018,17d 18m 36s South,15h 23m 0s
67,3/10/2018,17d 18m 21s South,15h 22m 59s
68,3/11/2018,17d 18m 3s South,15h 22m 57s
69,3/12/2018,17d 17m 43s South,15h 22m 54s
70,3/13/2018,17d 17m 20s South,15h 22m 50s
71,3/14/2018,17d 16m 54s South,15h 22m 45s
72,3/15/2018,17d 16m 25s South,15h 22m 40s
73,3/16/2018,17d 15m 54s South,15h 22m 34s
74,3/17/2018,17d 15m 20s South,15h 22m 27s
75,3/18/2018,17d 14m 43s South,15h 22m 20s
76,3/19/2018,17d 14m 3s South,15h 22m 11s
77,3/20/2018,17d 13m 21s South,15h 22m 2s
78,3/21/2018,17d 12m 36s South,15h 21m 52s
79,3/22/2018,17d 11m 49s South,15h 21m 42s
80,3/23/2018,17d 10m 59s South,15h 21m 31s
81,3/24/2018,17d 10m 6s South,15h 21m 19s
82,3/25/2018,17d 9m 11s South,15h 21m 6s
83,3/26/2018,17d 8m 13s South,15h 20m 53s
84,3/27/2018,17d 7m 13s South,15h 20m 39s
85,3/28/2018,17d 6m 10s South,15h 20m 24s
86,3/29/2018,17d 5m 4s South,15h 20m 8s
87,3/30/2018,17d 3m 56s South,15h 19m 52s
88,3/31/2018,17d 2m 46s South,15h 19m 35s
89,4/1/2018,17d 1m 34s South,15h 19m 18s
90,4/2/2018,17d 0m 18s South,15h 19m 0s
91,4/3/2018,16d 59m 1s South,15h 18m 41s
92,4/4/2018,16d 57m 42s South,15h 18m 22s
93,4/5/2018,16d 56m 20s South,15h 18m 2s
94,4/6/2018,16d 54m 56s South,15h 17m 41s
95,4/7/2018,16d 53m 29s South,15h 17m 20s
96,4/8/2018,16d 52m 1s South,15h 16m 58s
97,4/9/2018,16d 50m 30s South,15h 16m 36s
98,4/10/2018,16d 48m 58s South,15h 16m 13s
99,4/11/2018,16d 47m 24s South,15h 15m 50s
100,4/12/2018,16d 45m 47s South,15h 15m 26s
101,4/13/2018,16d 44m 9s South,15h 15m 2s
102,4/14/2018,16d 42m 29s South,15h 14m 37s
