,date,declination,right_ascension
0,1/2/2018,15d 30m 8s South,14h 51m 37s
1,1/3/2018,15d 41m 20s South,14h 54m 5s
2,1/4/2018,15d 52m 24s South,14h 56m 33s
3,1/5/2018,16d 3m 23s South,14h 59m 1s
4,1/6/2018,16d 14m 14s South,15h 1m 30s
5,1/7/2018,16d 24m 59s South,15h 3m 58s
6,1/8/2018,16d 35m 37s South,15h 6m 27s
7,1/9/2018,16d 46m 8s South,15h 8m 56s
8,1/10/2018,16d 56m 33s South,15h 11m 25s
9,1/11/2018,17d 6m 50s South,15h 13m 54s
10,1/12/2018,17d 17m 0s South,15h 16m 24s
11,1/13/2018,17d 27m 3s South,15h 18m 54s
12,1/14/2018,17d 36m 58s South,15h 21m 23s
13,1/15/2018,17d 46m 47s South,15h 23m 54s
14,1/16/2018,17d 56m 28s South,15h 26m 24s
15,1/17/2018,18d 6m 1s South,15h 28m 54s
16,1/18/2018,18d 15m 27s South,15h 31m 25s
17,1/19/2018,18d 24m 46s South,15h 33m 56s
18,1/20/2018,18d 33m 57s South,15h 36m 26s
19,1/21/2018,18d 43m 0s South,15h 38m 58s
20,1/22/2018,18d 51m 55s South,15h 41m 29s
21,1/23/2018,19d 0m 43s South,15h 44m 0s
22,1/24/2018,19d 9m 22s South,15h 46m 32s
23,1/25/2018,19d 17m 54s South,15h 49m 3s
24,1/26/2018,19d 26m 18s South,15h 51m 35s
25,1/27/2018,19d 34m 33s South,15h 54m 7s
26,1/28/2018,19d 42m 41s South,15h 56m 39s
27,1/29/2018,19d 50m 41s South,15h 59m 11s
28,1/30/2018,19d 58m 32s South,16h 1m 44s
29,1/31/2018,20d 6m 15s South,16h 4m 16s
30,2/1/2018,20d 13m 50s South,16h 6m 49s
31,2/2/2018,20d 21m 16s South,16h 9m 21s
32,2/3/2018,20d 28m 35s South,16h 11m 54s
33,2/4/2018,20d 35m 44s South,16h 14m 27s
34,2/5/2018,20d 42m 46s South,16h 17m 0s
35,2/6/2018,20d 49m 39s South,16h 19m 33s
36,2/7/2018,20d 56m 23s South,16h 22m 6s
37,2/8/2018,21d 2m 59s South,16h 24m 39s
38,2/9/2018,21d 9m 27s South,16h 27m 12s
39,2/10/2018,21d 15m 45s South,16h 29m 45s
40,2/11/2018,21d 21m 56s South,16h 32m 18s
41,2/12/2018,21d 27m 57s South,16h 34m 52s
