,date,declination,right_ascension
0,1/2/2018,0d 47m 15s North,12h 15m 36s
1,1/3/2018,0d 47m 36s North,12h 15m 36s
2,1/4/2018,0d 47m 59s North,12h 15m 35s
3,1/5/2018,0d 48m 25s North,12h 15m 33s
4,1/6/2018,0d 48m 54s North,12h 15m 32s
5,1/7/2018,0d 49m 25s North,12h 15m 30s
6,1/8/2018,0d 49m 59s North,12h 15m 27s
7,1/9/2018,0d 50m 36s North,12h 15m 24s
8,1/10/2018,0d 51m 15s North,12h 15m 21s
9,1/11/2018,0d 51m 57s North,12h 15m 17s
10,1/12/2018,0d 52m 42s North,12h 15m 13s
11,1/13/2018,0d 53m 30s North,12h 15m 8s
12,1/14/2018,0d 54m 20s North,12h 15m 3s
13,1/15/2018,0d 55m 13s North,12h 14m 57s
14,1/16/2018,0d 56m 8s North,12h 14m 52s
15,1/17/2018,0d 57m 6s North,12h 14m 45s
16,1/18/2018,0d 58m 7s North,12h 14m 39s
17,1/19/2018,0d 59m 10s North,12h 14m 31s
18,1/20/2018,1d 0m 16s North,12h 14m 24s
19,1/21/2018,1d 1m 24s North,12h 14m 16s
20,1/22/2018,1d 2m 35s North,12h 14m 8s
21,1/23/2018,1d 3m 48s North,12h 13m 59s
22,1/24/2018,1d 5m 4s North,12h 13m 50s
23,1/25/2018,1d 6m 22s North,12h 13m 40s
24,1/26/2018,1d 7m 43s North,12h 13m 30s
25,1/27/2018,1d 9m 6s North,12h 13m 20s
26,1/28/2018,1d 10m 32s North,12h 13m 9s
27,1/29/2018,1d 12m 0s North,12h 12m 58s
28,1/30/2018,1d 13m 30s North,12h 12m 47s
29,1/31/2018,1d 15m 3s North,12h 12m 35s
30,2/1/2018,1d 16m 38s North,12h 12m 22s
31,2/2/2018,1d 18m 15s North,12h 12m 10s
32,2/3/2018,1d 19m 54s North,12h 11m 57s
33,2/4/2018,1d 21m 36s North,12h 11m 43s
34,2/5/2018,1d 23m 19s North,12h 11m 30s
35,2/6/2018,1d 25m 5s North,12h 11m 16s
36,2/7/2018,1d 26m 53s North,12h 11m 1s
37,2/8/2018,1d 28m 42s North,12h 10m 47s
38,2/9/2018,1d 30m 34s North,12h 10m 31s
39,2/10/2018,1d 32m 28s North,12h 10m 16s
40,2/11/2018,1d 34m 23s North,12h 10m 0s
41,2/12/2018,1d 36m 21s North,12h 9m 44s
42,2/13/2018,1d 38m 20s North,12h 9m 28s
43,2/14/2018,1d 40m 20s North,12h 9m 11s
44,2/15/2018,1d 42m 23s North,12h 8m 54s
