,date,declination,right_ascension
0,1/2/2018,23d 31m 37s South,18h 46m 23s
1,1/3/2018,23d 27m 27s South,18h 51m 51s
2,1/4/2018,23d 22m 33s South,18h 57m 20s
3,1/5/2018,23d 16m 55s South,19h 2m 47s
4,1/6/2018,23d 10m 35s South,19h 8m 15s
5,1/7/2018,23d 3m 31s South,19h 13m 42s
6,1/8/2018,22d 55m 45s South,19h 19m 8s
7,1/9/2018,22d 47m 17s South,19h 24m 33s
8,1/10/2018,22d 38m 7s South,19h 29m 58s
9,1/11/2018,22d 28m 15s South,19h 35m 22s
10,1/12/2018,22d 17m 42s South,19h 40m 46s
11,1/13/2018,22d 6m 28s South,19h 46m 8s
12,1/14/2018,21d 54m 34s South,19h 51m 30s
13,1/15/2018,21d 42m 1s South,19h 56m 50s
14,1/16/2018,21d 28m 48s South,20h 2m 10s
15,1/17/2018,21d 14m 56s South,20h 7m 29s
16,1/18/2018,21d 0m 27s South,20h 12m 46s
17,1/19/2018,20d 45m 19s South,20h 18m 3s
18,1/20/2018,20d 29m 35s South,20h 23m 18s
19,1/21/2018,20d 13m 15s South,20h 28m 32s
20,1/22/2018,19d 56m 18s South,20h 33m 45s
21,1/23/2018,19d 38m 47s South,20h 38m 57s
22,1/24/2018,19d 20m 41s South,20h 44m 8s
23,1/25/2018,19d 2m 2s South,20h 49m 17s
24,1/26/2018,18d 42m 49s South,20h 54m 26s
25,1/27/2018,18d 23m 5s South,20h 59m 33s
26,1/28/2018,18d 2m 48s South,21h 4m 38s
27,1/29/2018,17d 42m 1s South,21h 9m 43s
28,1/30/2018,17d 20m 44s South,21h 14m 46s
29,1/31/2018,16d 58m 57s South,21h 19m 48s
30,2/1/2018,16d 36m 42s South,21h 24m 49s
31,2/2/2018,16d 13m 59s South,21h 29m 48s
32,2/3/2018,15d 50m 48s South,21h 34m 47s
33,2/4/2018,15d 27m 12s South,21h 39m 44s
34,2/5/2018,15d 3m 10s South,21h 44m 40s
35,2/6/2018,14d 38m 43s South,21h 49m 34s
36,2/7/2018,14d 13m 52s South,21h 54m 28s
37,2/8/2018,13d 48m 38s South,21h 59m 20s
38,2/9/2018,13d 23m 1s South,22h 4m 11s
39,2/10/2018,12d 57m 3s South,22h 9m 1s
40,2/11/2018,12d 30m 44s South,22h 13m 50s
41,2/12/2018,12d 4m 5s South,22h 18m 38s
42,2/13/2018,11d 37m 7s South,22h 23m 24s
43,2/14/2018,11d 9m 50s South,22h 28m 10s
44,2/15/2018,10d 42m 16s South,22h 32m 55s
45,2/16/2018,10d 14m 24s South,22h 37m 38s
46,2/17/2018,9d 46m 17s South,22h 42m 21s
47,2/18/2018,9d 17m 54s South,22h 47m 3s
48,2/19/2018,8d 49m 16s South,22h 51m 44s
49,2/20/2018,8d 20m 25s South,22h 56m 24s
50,2/21/2018,7d 51m 21s South,23h 1m 3s
51,2/22/2018,7d 22m 4s South,23h 5m 42s
52,2/23/2018,6d 52m 36s South,23h 10m 19s
53,2/24/2018,6d 22m 58s South,23h 14m 56s
54,2/25/2018,5d 53m 9s South,23h 19m 33s
55,2/26/2018,5d 23m 11s South,23h 24m 9s
56,2/27/2018,4d 53m 5s South,23h 28m 44s
57,2/28/2018,4d 22m 50s South,23h 33m 18s
58,3/1/2018,3d 52m 29s South,23h 37m 52s
59,3/2/2018,3d 22m 2s South,23h 42m 26s
60,3/3/2018,2d 51m 30s South,23h 46m 59s
61,3/4/2018,2d 20m 52s South,23h 51m 32s
62,3/5/2018,1d 50m 11s South,23h 56m 4s
63,3/6/2018,1d 19m 27s South,0h 0m 37s
64,3/7/2018,0d 48m 40s South,0h 5m 9s
65,3/8/2018,0d 17m 51s South,0h 9m 40s
66,3/9/2018,0d 12m 58s North,0h 14m 12s
67,3/10/2018,0d 43m 47s North,0h 18m 43s
68,3/11/2018,1d 14m 37s North,0h 23m 14s
69,3/12/2018,1d 45m 25s North,0h 27m 46s
70,3/13/2018,2d 16m 12s North,0h 32m 17s
71,3/14/2018,2d 46m 55s North,0h 36m 48s
72,3/15/2018,3d 17m 36s North,0h 41m 19s
73,3/16/2018,3d 48m 12s North,0h 45m 51s
74,3/17/2018,4d 18m 43s North,0h 50m 23s
75,3/18/2018,4d 49m 9s North,0h 54m 54s
76,3/19/2018,5d 19m 29s North,0h 59m 27s
77,3/20/2018,5d 49m 41s North,1h 3m 59s
78,3/21/2018,6d 19m 46s North,1h 8m 32s
79,3/22/2018,6d 49m 42s North,1h 13m 5s
80,3/23/2018,7d 19m 29s North,1h 17m 38s
81,3/24/2018,7d 49m 6s North,1h 22m 12s
82,3/25/2018,8d 18m 33s North,1h 26m 47s
83,3/26/2018,8d 47m 48s North,1h 31m 21s
84,3/27/2018,9d 16m 51s North,1h 35m 57s
85,3/28/2018,9d 45m 41s North,1h 40m 33s
86,3/29/2018,10d 14m 18s North,1h 45m 10s
87,3/30/2018,10d 42m 40s North,1h 49m 47s
88,3/31/2018,11d 10m 47s North,1h 54m 25s
89,4/1/2018,11d 38m 39s North,1h 59m 4s
90,4/2/2018,12d 6m 14s North,2h 3m 44s
91,4/3/2018,12d 33m 32s North,2h 8m 24s
92,4/4/2018,13d 0m 31s North,2h 13m 5s
